"x","n"
"CHINALIN SECURITIES",2
"CICC",16
"CIMB",1
"CINDA INTERNATIONAL",1
"CISC",1
"CITI ORIENT",3
"CITIC",11
"CITIGROUP",11
"CLC INTERNATIONAL",2
"CLC SECURITIES",1
"CLSA",4
"CMB",1
"CMB INTERNATIONAL",2
"CMS",10
"COWEN",3
"CREDIT SUISSE",8
"DAKIN CAPITAL",1
"DBS",2
"DEUTSCHE BANK",3
"DEUTSCHE BANK SECURITIES",1
"DONGGUAN SECURITIES",1
"DONGHAI SECURITIES",1
"DONGXING SECURITIES",1
"EARLYBIRDCAPITAL",1
"EASY ONE SECURITIES",1
"EBS INTERNATIONAL",1
"EMPEROR SECURITIES",2
"ESSENCE SECURITIES",3
"EVER-LONG SECURITIES",1
"EVERBRIGHT  SECURITIES",1
"FCIB",1
"FIRST CAPITAL SECURITIES",1
"FIRST SHANGHAI GROUP",2
"FORTUNE FINANCE CAPITAL",1
"FOUNDER SECURITIES",1
"FRONTPAGE CAPITAL",2
"FUTURE LAND RESOURCES",2
"GF SECURITIES",9
"GIRAFFE",1
"GOLDMAN SACHS",4
"GOLDMAN SACHS (ASIA) L.L.C.",3
"GOLDMAN SACHS (ASIA) L.L.C.",1
"GOLDMAN SACHS & CO. LLC",3
"GOLDMAN SACHS & CO. LLC",2
"GOLDMAN SACHS & CO. LLC",3
"GOLDMAN SACHS & CO. LLC",14
"GOLDSTATE SECURITIES",1
"GREAT WALL SECURITIES",2
"GUOSEN SECURITIES",2
"GUOTAI JUNAN SECURITIES",9
"GUOYUAN SECURITIES",3
"HAITONG",8
"HALCYON CAPITAL",1
"HEAD & SHOULDERS SECURITIES",5
"HSBC",1
"HUABANG CORPORATE FINANCE",1
"HUAJIN SECURITIES",2
"HUATAI UNITED SECURITIES",9
"INDUSTRIAL SECURITIES",3
"INNOVAX",6
"J.P. MORGAN",13
"J.P. MORGAN",8
"JEFFERIES",8
"JZ SECURITIES",1
"KAOLA SECURITIES",1
"KEEFE",4
"KGI",3
"KINGSTON CAPITAL",1
"LADENBURG THALMANN",1
"LEERINK PARTNERS",1
"LEGO CORPOARTE FINANCE",2
"MACQUARIE",2
"MAXIM GROUP LLC",2
"MINSHENG SECURITIES",2
"MORGAN STANLEY",13
"MORGAN STANLEY",11
"MORGEN STANLEY",9
"NANJING SECURITIES",1
"NATIONAL SECURITIES CORPORATION",1
"NETWORK 1 FINANCIAL SECURITIES",2
"NORTHEAST SECURITIES",1
"OPPENHEIMER & CO.",1
"OPPENHEIMER & CO.",1
"ORIENT CAPITAL",2
"PF GROUP",6
"PINGAN SECURITIES",3
"PIPER JAFFRAY",2
"PIPER JAFFRAY",1
"PULSAR CAPITAL",1
"QUASAR SECURITIES",3
"RAFFAELLO CAPITAL",2
"RAYMOND JAMES",1
"RAYMOND JAMES KEEFE",1
"RED SUN CAPITAL",1
"SANDLER O'NEILL + PARTNERS",2
"SEALAND SECURITIES",2
"SHENGANG SECURITIES",1
"SINOLINK SECURITIES",12
"SOOCHOW SECURITIES",3
"SOUTH CHINA FINANCIAL",1
"SPDB INTERNATIONAL",2
"STEPHENS INC.",1
"STIFEL   RAYMOND JAMES",1
"SUCCESS SECURITIES",1
"SUN INTERNATIONAL SECURITIES",1
"SUNWAH KINGSWAY CAPITAL",8
"UBS",1
"UOBKAYHIAN",1
"VIEWTRADE SECURITIES",4
"VMS",1
"WELLS FARGO SECURITIES",1
"WESTERN SECURITIES",1
"WINDSOR STREET CAPITAL",1
"YUANTA SECURITIES",1
"ZHESHANG SECURITIES",2
"ZHONG DE SECURITIES",1
"ZHONGTAI INTERNATIONAL",1
"ZTF SECURITIES",1
